,Sku,ItemName,Category,UnitPrice,ItemId,Collection,Availability,Color,Gender,Description,Composition
2828,P20234516714790099,SUPER TASMANIA CREW NECK  ,"['Maglieria, Giacche']",215.0,2828,Spring-Summer,1,099,Men,super tasmania wool crewneck an extra fine bright and extraordinarily soft yarn super tasmania gives wearer pleasant sensations ensuring constant protection and warmth in the winter freshness in the summer nexttoskin softness 365 days a year mens wardrobe musthave fashion fit,wool
2829,P20235813618120099,KNIT T-SHIRT,"['Maglieria, Giacche']",114.75,2829,Spring-Summer,1,099,Men,pure cotton crew neck sweater the tubular hem increases comfort and practicality giving a linear fit a garment perfect to be paired with jogging pants or jeans for effortless looks fashion fit,cotton
2830,P20234310429401598,SUVIN COTTON KNIT T-SHIRT,"['Polo, Camicie e T-shirt']",163.93,2830,Spring-Summer,1,598,Men,suvin cotton tshirt born in 1971 as a crossbreed of sujata indian cotton and saint vincent 35 sea island cotton from saint vincent island suvin is among the finest in the world thin durable and bright it caresses the skin and gives a pleasant soft feel fashion fit,cotton
2831,P20235516721801520,VINTAGE ORGANIC COTTON CREW NECK,"['Polo, Camicie e T-shirt', 'Vintage']",165.0,2831,Spring-Summer,1,520,Men,vintage fine organic cotton crew neck both cotton and coloring are guaranteed by the global organic textile standard gots certification organic cotton is grown without pesticides or toxic substances in respect of man and in the protection of the environment for sustainable development fresh and slim its a classic garment of the male wardrobe the fashion fit wearability makes it perfect for a standalone or paired with a top,cotton
2832,P20235710418017005,ORGANIC COTTON RAGLAN T-SHIRT,"['Polo, Camicie e T-shirt']",135.25,2832,Spring-Summer,1,005,Men,organic cotton short raglan sleeve tshirt both the organic cotton and the dyeing are guaranteed by the global organic textile standard certification gots this organic fibre is cultivated without pesticides or toxic substances respecting man and protecting the environment to promote sustainable development a timeless garment perfect for a modern formal look fashion fit,cotton
2833,P20235710418017580,ORGANIC COTTON RAGLAN T-SHIRT,"['Polo, Camicie e T-shirt']",165.0,2833,Spring-Summer,1,580,Men,organic cotton short raglan sleeve tshirt both the organic cotton and the dyeing are guaranteed by the global organic textile standard certification gots this organic fibre is cultivated without pesticides or toxic substances respecting man and protecting the environment to promote sustainable development a timeless garment perfect for a modern formal look fashion fit,cotton
2834,P20236014774219176,MERCERIZED COTTON PIQUET POLO ZIP,"['Polo, Camicie e T-shirt']",165.0,2834,Spring-Summer,1,176,Men,jersey shortsleeved polo shirt in lisle cotton piqué yarn featuring neck sleeves and placket in contrasting color this exquisite cotton has unrivaled vibrancy and softnesst an effortless item easy to throw on over virtually anything fashion fit,cotton
2835,P20232321013810116,HALF-FISHERMAN'S RIB BOAT NECK,"['Maglieria, Giacche']",205.0,2835,Spring-Summer,1,116,Women,halffishermans rib 2ply pure cotton boat neck sweater the raglan sleeve and contrast details on sleeves make the garment versatile and contemporary a refined item perfect to celebrate your everyday elegance,cotton
2836,P20235718918017580,ORGANIC COTTON RAGLAN KNIT POLO,"['Polo, Camicie e T-shirt']",209.87,2836,Spring-Summer,1,580,Men,organic cotton short raglan sleeve polo shirt both the organic cotton and the dyeing are guaranteed by the global organic textile standard certification gots this organic fibre is cultivated without pesticides or toxic substances respecting man and protecting the environment to promote sustainable development a timeless garment perfect for a modern formal look fashion fit,cotton
2837,P20235516714290597,MERINOS WOOL CREW NECK,['Maglieria'],130.0,2837,Spring-Summer,1,597,Men,crew neck in extrafine merino wool its warm and lightweight a classical garment of mens wardrobe a fashion fit perfect to wear on its own or under a coat or jacket,wool
